qweek,i2_health,i11_health,age,gender,household_size,WCRex2,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex1,r1_1,r1_2,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,i9_health_No,i9_health_Not sure,i9_health_Yes,state_Australian Capital Territory,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,employment_status_Full time employment,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
48,2.0,2.0,77,1,1,3.0,7.0,4,4,3,3,2.0,7,4,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,154191.0,656.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
40,3.0,1.0,58,0,1,3.0,0.0,2,2,2,2,3.0,7,6,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,1995.0,7.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
48,5.0,1.0,37,1,4,4.0,9.0,3,3,3,3,4.0,6,7,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,13863.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
48,20.0,1.0,65,1,2,2.0,8.0,4,3,3,4,1.0,4,6,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,8534.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
44,0.0,1.0,49,1,2,4.0,0.0,1,1,1,2,3.0,5,2,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,75766.0,580.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
38,1.0,1.0,76,0,2,3.0,8.0,4,4,4,4,4.0,5,4,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1059.0,9.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
51,2.0,2.0,46,0,4,3.0,10.0,4,4,4,4,3.0,4,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,2.0,1197969.0,1713.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
46,3.0,1.0,59,0,1,4.0,7.0,1,1,1,1,4.0,7,1,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2130.0,7.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
46,0.0,1.0,34,1,3,4.0,8.0,3,3,3,3,4.0,7,3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,121727.0,1331.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
39,0.0,1.0,70,0,2,3.0,6.0,4,4,4,4,3.0,2,2,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,20466.0,130.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
